Style,Type,Density,Part_Width,Manufacturer,C_MEM_REG_DIMM,memory_total_data_width,C_MEM_PARTNO,C_MEM_PART_DATA_DEPTH,C_MEM_PART_DATA_WIDTH,C_MEM_PART_NUM_BANK_BITS,C_MEM_PART_NUM_ROW_BITS,C_MEM_PART_NUM_COL_BITS,C_MEM_PART_TRAS,C_MEM_PART_TRASMAX,C_MEM_PART_TRC,C_MEM_PART_TRCD,C_MEM_PART_TDQSS,C_MEM_PART_TWR,C_MEM_PART_TRP,C_MEM_PART_TMRD,C_MEM_PART_TRRD,C_MEM_PART_TRFC,C_MEM_PART_TREFI,C_MEM_PART_TAL,C_MEM_PART_TCCD,C_MEM_PART_TWTR,C_MEM_PART_TRTP,C_MEM_PART_CAS_A_FMAX,C_MEM_PART_CAS_A,C_MEM_PART_CAS_B_FMAX,C_MEM_PART_CAS_B,C_MEM_PART_CAS_C_FMAX,C_MEM_PART_CAS_C,C_MEM_PART_CAS_D_FMAX,C_MEM_PART_CAS_D,C_MEM_CLK_WIDTH,C_MEM_ODT_WIDTH,C_MEM_CE_WIDTH,C_MEM_CS_N_WIDTH,C_MEM_NUM_RANKS
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-D4,8,16,2,12,9,40000,70000000,60000,18000,1,15000,18000,2,10000,70000,15600000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-D43,8,16,2,12,9,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,15600000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-H,8,16,2,12,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-J,8,16,2,12,9,42000,120000000,60000,18000,1,15000,18000,2,12000,72000,15600000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-K,8,16,2,12,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-L,8,16,2,12,9,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,15600000,,,,,100,2,125,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ET-M,8,16,2,12,9,45000,120000000,60000,15000,1,15000,15000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-D4,8,16,2,12,9,40000,70000000,60000,18000,1,15000,18000,2,10000,70000,15600000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-D43,8,16,2,12,9,40000,70000000,55000,15000,1,15000,15000,2,10000,70000,15600000,,,,,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-H,8,16,2,12,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,100,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-J,8,16,2,12,9,42000,120000000,60000,18000,1,15000,18000,2,12000,72000,15600000,,,,,133,2,166,2.5,166,3,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-K,8,16,2,12,9,45000,120000000,65000,20000,1,15000,20000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-L,8,16,2,12,9,50000,120000000,70000,20000,1,15000,20000,2,15000,80000,15600000,,,,,100,2,125,2.5,0,0,0,0,1,1,1,1,1
Discrete,DDR,128Mb,x16,Hynix,0,0,HY5DU281622ETP-M,8,16,2,12,9,45000,120000000,60000,15000,1,15000,15000,2,15000,75000,15600000,,,,,133,2,133,2.5,0,0,0,0,1,1,1,1,1
